Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
1SMB16CAT3GOSCT-ND,ON Semiconductor,1SMB16CAT3G,D3,12,
478-1395-1-ND,AVX,08055C104KAT2A,C5,12,
399-8100-1-ND,Kemet,C0805C474K5RACTU,C1,12,
P10.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1002V,R2,12,
P62.0KCCT-ND,Panasonic Electronic Components,ERJ-6ENF6202V,R1,12,
490-9951-1-ND,Murata ,GRM219R61A226MEA0D,C3,12,
LM2940IMP-5.0/NOPBCT-ND,Texas Instruments,LM2940IMP-5.0/NOPB,IC1,12,
568-4032-1-ND,NXP Semiconductors,PESD1CAN-215,D1,12,
S7115-ND,Sullins Connector Solutions,PPPC122LFBN-RC,CORE,12,
455-1806-1-ND,JST,SM06B-SRSS-TB,GPS,12,
568-8682-1-ND,NXP Semiconductors,TJA1049T-118,IC2,12,
