Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"C5",0.1u,C0402,GRM155R71C104KA88D,Murata,DK,490-3261-1-ND,0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount MLCC 0402,REF48
1,"D2",1SMB16CAT3G,SMB-DIODE,1SMB16CAT3G,ON Semiconductor,DK,1SMB16CAT3GOSCT-ND,TVS DIODE 16VWM 26VC SMB,REF1
1,"R2",10k,R0402,ERJ-2RKF1002X,Panasonic Electronic Components,DK,P10.0KLCT-ND,RES SMD 10K OHM 1% 1/10W 0402,REF50
1,"C2",10n,C0402,C0402C103K5RACTU,Kemet,DK,399-3066-1-ND,10000pF ±10% 50V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount MLCC 0402,REF42
1,"C1",10uF,C1206,GRM31CR61E106KA12L,Murata,DK,490-3373-1-ND,10µF ±10% 25V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount MLCC 1206,REF40
1,"L1",15uH,NR8040,NR8040T150M,Taiyo-Yuden,DK,587-2643-1-ND,FIXED IND 15UH 2.4A 65 MOHM SMD,REF46
1,"R4",17.4k,R0402,ERJ-2RKF1742X,Panasonic Electronic Components,DK,P17.4KLCT-ND,RES SMD 17.4K OHM 1% 1/10W 0402,REF45
1,"C3",22u,C1206,GRM31CR61C226ME15L,Murata,DK,490-4739-1-ND,22µF ±20% 16V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount MLCC 1206,REF41
1,"R1",62k,R0402,ERJ-2RKF6202X,Panasonic Electronic Components,DK,P62.0KLCT-ND ,RES SMD 62K OHM 1% 1/10W 0402,REF49
1,"R3",91k,R0402,ERJ-2RKF9102X,Panasonic Electronic Components,DK,P91.0KLCT-ND,RES SMD 91K OHM 1% 1/10W 0402,REF44
1,"D3",B230A,DO-214AA,B230A-13-F,Diodes-Incorporated,DK,B230A-FDICT-ND,DIODE SCHOTTKY 30V 2A SMA,REF43
2,"HEADER1, HEADER2",BOM-ENTRY,*,PPPC122LFBN-RC,Sullins Connector Solutions,DK,S7115-ND,Connector Header 24 Position 0.100"" (2.54mm) Gold Through Hole,REF8
1,"GPS",JSTHORIZONTAL,JST-6-SMD-HOR-1.0MM,SM06B-SRSS-TB,JST,DK,455-1806-1-ND,CONN HEADER SH 6POS SIDE 1MM TIN,REF39
1,"J1",OBDII,OBDII-STRAIGHT,OBD-II,COMTECH,SF,DEV-09911,OBD-II connector Straight,REF6
1,"D1",PESD1CAN,SOT23,PESD1CAN-215,NXP Semiconductors,DK,568-4032-1-ND,TVS DIODE 24VWM 70VC SOT23,REF2
1,"IC1",RT8258,SOT-23-6,RT8258GJ6,Richtek,DK,1028-1044-1-ND,IC REG BUCK ADJ 1.2A TSOT23-6,REF47
1,"IC2",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
